Entity,Code,Year,Emisiones de CO2
Chile,CHL,1895,0.17841984
Chile,CHL,1896,0.1796605
Chile,CHL,1897,0.21117477
Chile,CHL,1898,0.2417898
Chile,CHL,1899,0.20428419
Chile,CHL,1900,0.27032456
Chile,CHL,1901,0.49221575
Chile,CHL,1902,0.6074131
Chile,CHL,1903,0.6614611
Chile,CHL,1904,0.5944961
Chile,CHL,1905,0.6198417
Chile,CHL,1906,0.71894485
Chile,CHL,1907,0.6342531
Chile,CHL,1908,0.70630604
Chile,CHL,1909,0.66730076
Chile,CHL,1910,0.7872081
Chile,CHL,1911,0.8593876
Chile,CHL,1912,0.94561785
Chile,CHL,1913,0.9050275
Chile,CHL,1914,0.75702643
Chile,CHL,1915,0.8062289
Chile,CHL,1916,0.96249306
Chile,CHL,1917,1.032047
Chile,CHL,1918,1.0053619
Chile,CHL,1919,0.972313
Chile,CHL,1920,0.6876454
Chile,CHL,1921,0.81396383
Chile,CHL,1922,0.66380906
Chile,CHL,1923,0.7236214
Chile,CHL,1924,0.9440458
Chile,CHL,1925,0.87873757
Chile,CHL,1926,0.8902561
Chile,CHL,1927,0.87244105
Chile,CHL,1928,0.81173253
Chile,CHL,1929,0.878748
Chile,CHL,1930,0.8301012
Chile,CHL,1931,0.6212645
Chile,CHL,1932,0.6042985
Chile,CHL,1933,0.84004
Chile,CHL,1934,0.9744573
Chile,CHL,1935,1.0139427
Chile,CHL,1936,0.9804373
Chile,CHL,1937,1.0123421
Chile,CHL,1938,1.0422127
Chile,CHL,1939,0.9279073
Chile,CHL,1940,0.95765686
Chile,CHL,1941,0.99563843
Chile,CHL,1942,1.0193915
Chile,CHL,1943,1.0529982
Chile,CHL,1944,1.0385487
Chile,CHL,1945,0.9366234
Chile,CHL,1946,0.8852019
Chile,CHL,1947,0.91282463
Chile,CHL,1948,0.9748543
Chile,CHL,1949,0.90488845
Chile,CHL,1950,1.2758476
Chile,CHL,1951,1.479042
Chile,CHL,1952,1.5406125
Chile,CHL,1953,1.4809886
Chile,CHL,1954,1.5450907
Chile,CHL,1955,1.5835958
Chile,CHL,1956,1.5816286
Chile,CHL,1957,1.5343648
Chile,CHL,1958,1.5949364
Chile,CHL,1959,1.5931878
Chile,CHL,1960,1.6552144
Chile,CHL,1961,1.7386926
Chile,CHL,1962,1.9687873
Chile,CHL,1963,2.0028849
Chile,CHL,1964,1.9835758
Chile,CHL,1965,1.9730306
Chile,CHL,1966,2.0490277
Chile,CHL,1967,2.0628114
Chile,CHL,1968,2.2338128
Chile,CHL,1969,2.3333435
Chile,CHL,1970,2.508614
Chile,CHL,1971,2.7098105
Chile,CHL,1972,2.7734725
Chile,CHL,1973,2.6764543
Chile,CHL,1974,2.4709837
Chile,CHL,1975,2.1567366
Chile,CHL,1976,2.2238925
Chile,CHL,1977,2.0981946
Chile,CHL,1978,2.0508633
Chile,CHL,1979,2.1876266
Chile,CHL,1980,2.1883454
Chile,CHL,1981,2.092106
Chile,CHL,1982,1.7341019
Chile,CHL,1983,1.7262169
Chile,CHL,1984,1.8114171
Chile,CHL,1985,1.7273691
Chile,CHL,1986,1.7597536
Chile,CHL,1987,1.762805
Chile,CHL,1988,2.0590775
Chile,CHL,1989,2.43878
Chile,CHL,1990,2.4663436
Chile,CHL,1991,2.2778301
Chile,CHL,1992,2.3218653
Chile,CHL,1993,2.4358413
Chile,CHL,1994,2.6722767
Chile,CHL,1995,2.8829238
Chile,CHL,1996,3.29967
Chile,CHL,1997,3.7774923
Chile,CHL,1998,3.8180602
Chile,CHL,1999,4.0462747
Chile,CHL,2000,3.8107965
Chile,CHL,2001,3.408817
Chile,CHL,2002,3.494092
Chile,CHL,2003,3.4743552
Chile,CHL,2004,3.6976247
Chile,CHL,2005,3.7790606
Chile,CHL,2006,3.9212475
Chile,CHL,2007,4.272453
Chile,CHL,2008,4.2344747
Chile,CHL,2009,3.918378
Chile,CHL,2010,4.1958847
Chile,CHL,2011,4.546025
Chile,CHL,2012,4.5912743
Chile,CHL,2013,4.6680274
Chile,CHL,2014,4.3868027
Chile,CHL,2015,4.5764747
Chile,CHL,2016,4.6588726
Chile,CHL,2017,4.5805526
Chile,CHL,2018,4.515097
Chile,CHL,2019,4.8308606
Chile,CHL,2020,4.15424
Chile,CHL,2021,4.5675793
Chile,CHL,2022,4.3041654
